[769, 300;
 540, 803;
 540, 805;
 539, 806;
 539, 807;
 538, 808;
 538, 809;
 537, 810;
 537, 811;
 536, 812;
 536, 813;
 535, 814;
 535, 816;
 534, 817;
 534, 818;
 533, 819;
 533, 820;
 532, 821;
 532, 822;
 531, 823;
 531, 824;
 530, 825;
 530, 827;
 529, 828;
 529, 829;
 528, 830;
 528, 831;
 527, 832;
 527, 833;
 526, 834;
 526, 835;
 525, 836;
 525, 838;
 524, 839;
 524, 840;
 523, 841;
 523, 842;
 522, 843;
 522, 844;
 521, 845;
 521, 847;
 520, 848;
 520, 849;
 519, 850;
 519, 851;
 518, 852;
 518, 853;
 517, 854;
 517, 855;
 516, 856;
 516, 858;
 515, 859;
 515, 860;
 514, 861;
 514, 862;
 513, 863;
 513, 864;
 512, 865;
 512, 866;
 511, 867;
 511, 869;
 510, 870;
 510, 871;
 509, 872;
 509, 873;
 508, 874;
 508, 876;
 509, 877;
 511, 877;
 512, 878;
 516, 878;
 517, 879;
 520, 879;
 521, 880;
 524, 880;
 525, 881;
 528, 881;
 529, 882;
 532, 882;
 533, 883;
 537, 883;
 538, 884;
 541, 884;
 542, 885;
 545, 885;
 546, 886;
 549, 886;
 550, 887;
 554, 887;
 555, 888;
 558, 888;
 559, 889;
 562, 889;
 563, 890;
 566, 890;
 567, 891;
 571, 891;
 572, 892;
 575, 892;
 576, 893;
 579, 893;
 580, 894;
 583, 894;
 584, 895;
 587, 895;
 588, 896;
 592, 896;
 593, 897;
 596, 897;
 597, 898;
 600, 898;
 601, 899;
 604, 899;
 605, 900;
 609, 900;
 610, 901;
 613, 901;
 614, 902;
 617, 902;
 618, 903;
 621, 903;
 622, 904;
 626, 904;
 627, 905;
 630, 905;
 631, 906;
 634, 906;
 635, 907;
 638, 907;
 639, 908;
 643, 908;
 644, 909;
 647, 909;
 648, 910;
 651, 910;
 652, 911;
 655, 911;
 656, 912;
 659, 912;
 660, 913;
 664, 913;
 665, 914;
 668, 914;
 669, 915;
 672, 915;
 673, 916;
 676, 916;
 677, 917;
 681, 917;
 682, 918;
 685, 918;
 686, 919;
 689, 919;
 690, 920;
 693, 920;
 694, 921;
 698, 921;
 699, 922;
 702, 922;
 703, 923;
 706, 923;
 707, 924;
 710, 924;
 711, 925;
 714, 925;
 715, 926;
 719, 926;
 720, 927;
 723, 927;
 724, 928;
 727, 928;
 728, 929;
 731, 929;
 732, 930;
 736, 930;
 737, 931;
 740, 931;
 741, 932;
 744, 932;
 745, 933;
 748, 933;
 749, 934;
 753, 934;
 754, 935;
 757, 935;
 758, 936;
